,course,question,pct_agree_base,n_base,time,pct_agree_clean,n_clean,diff
432,Chemistry 30A,mistakes_are_learning,90.0,20,w10,94.73684210526316,19,4.736842105263165
305,Chemistry 30A,at_least_c,85.0,20,w10,89.47368421052632,19,4.473684210526315
428,Chemistry 30A,challenges_are_growth,80.0,20,w10,84.21052631578947,19,4.2105263157894655
521,Chemistry 14C,contributions_valued,58.22784810126582,79,w3,54.16666666666666,72,-4.061181434599163
690,Chemistry 30A,continuing,75.0,20,w10,78.94736842105263,19,3.94736842105263
25,Chemistry 14B,at_least_c,85.9375,64,w3,89.65517241379311,58,3.7176724137931103
435,Chemistry 30A,seek_help,70.0,20,w10,73.68421052631578,19,3.6842105263157805
694,Chemistry 30A,peers_respect,70.0,20,w10,73.68421052631578,19,3.6842105263157805
22,Chemistry 14B,apply_math,67.1875,64,w3,70.6896551724138,58,3.5021551724137936
80,Chemistry 30A,at_least_c,81.63265306122449,49,w3,85.1063829787234,47,3.4737299174989147
697,Chemistry 30A,work_in_groups,65.0,20,w10,68.42105263157895,19,3.421052631578945
159,Chemistry 14BL,unfamiliar,60.41666666666666,48,w3,57.14285714285714,42,-3.2738095238095184
24,Chemistry 14B,at_least_b,79.6875,64,w3,82.75862068965517,58,3.0711206896551744
429,Chemistry 30A,confident,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
306,Chemistry 30A,find_help,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
691,Chemistry 30A,contributions_valued,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
689,Chemistry 30A,belong,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
696,Chemistry 30A,supported_department,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
511,Chemistry 14BL,contributions_valued,64.0,50,w3,61.36363636363637,44,-2.636363636363633
693,Chemistry 30A,part_of_community,50.0,20,w10,52.63157894736842,19,2.6315789473684177
436,Chemistry 30A,unfamiliar,50.0,20,w10,52.63157894736842,19,2.6315789473684177
26,Chemistry 14B,find_help,75.0,64,w3,77.58620689655173,58,2.5862068965517295
163,Chemistry 14C,develop_intelligence,94.44444444444444,72,w3,97.01492537313432,67,2.570480928689875
31,Chemistry 14B,understand_study_strats,73.4375,64,w3,75.86206896551724,58,2.4245689655172384
304,Chemistry 30A,asking_questions,45.0,20,w10,47.368421052631575,19,2.368421052631575
516,Chemistry 14BL,supported_department,66.0,50,w3,63.63636363636363,44,-2.363636363636367
3,Chemistry 14A,at_least_c,87.74834437086093,302,w3,90.1060070671378,283,2.3576626962768614
523,Chemistry 14C,part_of_community,75.9493670886076,79,w3,73.61111111111111,72,-2.3382559774964875
42,Chemistry 14BL,understand_study_strats,77.77777777777779,63,w3,80.0,55,2.2222222222222143
512,Chemistry 14BL,instructor_cares,68.0,50,w3,65.9090909090909,44,-2.0909090909090935
82,Chemistry 30A,manage_time,51.02040816326531,49,w3,48.93617021276596,47,-2.0842379504993502
85,Chemistry 30A,succeed,51.02040816326531,49,w3,48.93617021276596,47,-2.0842379504993502
250,Chemistry 14B,asking_questions,46.2962962962963,54,w10,44.230769230769226,52,-2.065527065527071
525,Chemistry 14C,study_buddy,79.74683544303798,79,w3,77.77777777777779,72,-1.9690576652601948
518,Chemistry 14C,be_myself,79.74683544303798,79,w3,77.77777777777779,72,-1.9690576652601948
32,Chemistry 14B,workload,68.75,64,w3,70.6896551724138,58,1.9396551724137936
29,Chemistry 14B,study_habits,68.75,64,w3,70.6896551724138,58,1.9396551724137936
526,Chemistry 14C,supported_department,65.82278481012658,79,w3,63.888888888888886,72,-1.933895921237692
