question,response_type,Chemistry 14A,Chemistry 14AE,Chemistry 14B,Chemistry 14BL,Chemistry 14C,Chemistry 14D,Chemistry 20A,Chemistry 30A,Chemistry 30B,Chemistry 30BL,Chemistry 30CL
I am confident in applying mathematical skills to Chemistry problems.,agree,89.60%,76.74%,66.67%,68.90%,66.67%,81.49%,90.64%,75.00%,81.95%,94.74%,71.43%
I am confident in applying mathematical skills to Chemistry problems.,disagree,4.00%,4.65%,15.69%,16.14%,0.00%,6.05%,1.75%,10.00%,6.34%,0.00%,0.00%
I am confident in applying mathematical skills to Chemistry problems.,neutral,6.40%,18.60%,17.65%,14.96%,33.33%,12.46%,7.60%,15.00%,11.71%,5.26%,28.57%
I am comfortable asking questions in lecture or discussion sections.,agree,65.60%,67.44%,47.06%,61.02%,100.00%,65.48%,78.95%,45.00%,68.78%,84.21%,71.43%
I am comfortable asking questions in lecture or discussion sections.,disagree,12.00%,13.95%,29.41%,16.93%,0.00%,16.01%,5.85%,20.00%,11.71%,0.00%,14.29%
I am comfortable asking questions in lecture or discussion sections.,neutral,22.40%,18.60%,23.53%,22.05%,0.00%,18.51%,15.20%,35.00%,19.51%,15.79%,14.29%
I expect to earn at least a C in this class (C or better).,agree,95.60%,93.02%,88.24%,90.94%,100.00%,92.88%,92.40%,85.00%,89.76%,94.74%,100.00%
I expect to earn at least a C in this class (C or better).,disagree,0.40%,2.33%,0.00%,0.79%,0.00%,1.07%,2.34%,0.00%,1.95%,0.00%,0.00%
I expect to earn at least a C in this class (C or better).,neutral,4.00%,4.65%,11.76%,8.27%,0.00%,6.05%,5.26%,15.00%,8.29%,5.26%,0.00%
I know where to find academic help if I need it,agree,92.40%,76.74%,82.35%,80.31%,100.00%,80.07%,87.72%,55.00%,88.78%,84.21%,71.43%
I know where to find academic help if I need it,disagree,1.20%,11.63%,3.92%,5.91%,0.00%,6.05%,2.34%,10.00%,4.39%,0.00%,14.29%
I know where to find academic help if I need it,neutral,6.40%,11.63%,13.73%,13.78%,0.00%,13.88%,9.94%,35.00%,6.83%,15.79%,14.29%
I believe I can manage my time effectively when studying for Chemistry exams.,agree,84.40%,51.16%,60.78%,66.93%,100.00%,65.84%,81.29%,75.00%,70.73%,73.68%,57.14%
I believe I can manage my time effectively when studying for Chemistry exams.,disagree,7.20%,20.93%,19.61%,12.99%,0.00%,14.23%,6.43%,10.00%,13.17%,15.79%,14.29%
I believe I can manage my time effectively when studying for Chemistry exams.,neutral,8.40%,27.91%,19.61%,20.08%,0.00%,19.93%,12.28%,15.00%,16.10%,10.53%,28.57%
I can explain Chemistry concepts in my own words.,agree,91.20%,79.07%,58.82%,72.44%,100.00%,86.83%,89.47%,85.00%,89.76%,94.74%,71.43%
I can explain Chemistry concepts in my own words.,disagree,2.40%,2.33%,23.53%,9.06%,0.00%,4.27%,0.58%,5.00%,2.44%,0.00%,0.00%
I can explain Chemistry concepts in my own words.,neutral,6.40%,18.60%,17.65%,18.50%,0.00%,8.90%,9.94%,10.00%,7.80%,5.26%,28.57%
I believe my current study habits will help me perform well in this class.,agree,82.80%,65.12%,60.78%,67.32%,100.00%,73.67%,80.70%,75.00%,72.20%,68.42%,57.14%
I believe my current study habits will help me perform well in this class.,disagree,7.20%,16.28%,15.69%,10.63%,0.00%,10.32%,7.02%,10.00%,9.76%,5.26%,28.57%
I believe my current study habits will help me perform well in this class.,neutral,10.00%,18.60%,23.53%,22.05%,0.00%,16.01%,12.28%,15.00%,18.05%,26.32%,14.29%
I understand the study strategies needed to perform well in college-level science classes.,agree,93.60%,79.07%,86.27%,80.31%,100.00%,90.39%,89.47%,90.00%,90.24%,94.74%,71.43%
I understand the study strategies needed to perform well in college-level science classes.,disagree,2.00%,9.30%,3.92%,5.51%,0.00%,3.20%,3.51%,5.00%,2.93%,0.00%,28.57%
I understand the study strategies needed to perform well in college-level science classes.,neutral,4.40%,11.63%,9.80%,14.17%,0.00%,6.41%,7.02%,5.00%,6.83%,5.26%,0.00%
I feel prepared to handle the workload and expectations of this course.,agree,80.00%,58.14%,60.78%,63.39%,100.00%,66.19%,84.80%,65.00%,74.15%,63.16%,71.43%
I feel prepared to handle the workload and expectations of this course.,disagree,8.40%,23.26%,13.73%,17.72%,0.00%,19.93%,2.34%,15.00%,10.24%,21.05%,14.29%
I feel prepared to handle the workload and expectations of this course.,neutral,11.60%,18.60%,25.49%,18.90%,0.00%,13.88%,12.87%,20.00%,15.61%,15.79%,14.29%
