question,response_type,Chemistry 14A,Chemistry 14AE,Chemistry 14B,Chemistry 14BL,Chemistry 14C,Chemistry 14CL,Chemistry 14D,Chemistry 20A,Chemistry 30A,Chemistry 30B,Chemistry 30BL,Chemistry 30C
I can be myself when interacting with classmates and faculty in Chemistry.,agree,84.10%,75.00%,71.43%,79.92%,100.00%,0.00%,78.60%,83.33%,73.68%,83.50%,94.12%,83.33%
I can be myself when interacting with classmates and faculty in Chemistry.,disagree,2.93%,8.33%,8.16%,5.33%,0.00%,0.00%,5.17%,1.85%,5.26%,4.37%,0.00%,16.67%
I can be myself when interacting with classmates and faculty in Chemistry.,neutral,12.97%,16.67%,20.41%,14.75%,0.00%,100.00%,16.24%,14.81%,21.05%,12.14%,5.88%,0.00%
I feel like I belong in this Chemistry class.,agree,90.79%,75.00%,79.59%,74.59%,100.00%,0.00%,78.23%,90.12%,52.63%,83.98%,88.24%,83.33%
I feel like I belong in this Chemistry class.,disagree,3.77%,8.33%,6.12%,11.48%,0.00%,0.00%,10.33%,3.09%,21.05%,8.25%,0.00%,0.00%
I feel like I belong in this Chemistry class.,neutral,5.44%,16.67%,14.29%,13.93%,0.00%,100.00%,11.44%,6.79%,26.32%,7.77%,11.76%,16.67%
I see myself continuing in Chemistry or a related field after this class.,agree,86.19%,72.22%,46.94%,52.05%,100.00%,0.00%,61.99%,68.52%,73.68%,82.52%,94.12%,83.33%
I see myself continuing in Chemistry or a related field after this class.,disagree,5.86%,8.33%,34.69%,25.41%,0.00%,100.00%,19.56%,8.02%,21.05%,6.31%,0.00%,0.00%
I see myself continuing in Chemistry or a related field after this class.,neutral,7.95%,19.44%,18.37%,22.54%,0.00%,0.00%,18.45%,23.46%,5.26%,11.17%,5.88%,16.67%
I believe my contributions in class are valued.,agree,69.46%,72.22%,46.94%,66.39%,100.00%,0.00%,58.67%,70.37%,52.63%,59.71%,76.47%,83.33%
I believe my contributions in class are valued.,disagree,5.02%,2.78%,16.33%,11.48%,0.00%,0.00%,12.18%,3.09%,15.79%,8.74%,0.00%,16.67%
I believe my contributions in class are valued.,neutral,25.52%,25.00%,36.73%,22.13%,0.00%,100.00%,29.15%,26.54%,31.58%,31.55%,23.53%,0.00%
My instructor(s) care about my learning and progress.,agree,90.38%,91.67%,71.43%,74.59%,100.00%,0.00%,88.19%,98.15%,78.95%,88.83%,94.12%,83.33%
My instructor(s) care about my learning and progress.,disagree,3.35%,5.56%,12.24%,9.43%,0.00%,0.00%,2.58%,0.00%,10.53%,1.94%,0.00%,16.67%
My instructor(s) care about my learning and progress.,neutral,6.28%,2.78%,16.33%,15.98%,0.00%,100.00%,9.23%,1.85%,10.53%,9.22%,5.88%,0.00%
I see myself as part of the learning community in this course.,agree,87.87%,77.78%,73.47%,72.54%,100.00%,0.00%,71.96%,81.48%,47.37%,80.58%,94.12%,83.33%
I see myself as part of the learning community in this course.,disagree,2.93%,5.56%,10.20%,9.84%,0.00%,0.00%,10.33%,1.85%,15.79%,7.28%,0.00%,0.00%
I see myself as part of the learning community in this course.,neutral,9.21%,16.67%,16.33%,17.62%,0.00%,100.00%,17.71%,16.67%,36.84%,12.14%,5.88%,16.67%
My peers in this course respect my ideas.,agree,78.24%,83.33%,67.35%,83.20%,100.00%,100.00%,75.28%,74.07%,68.42%,74.76%,82.35%,100.00%
My peers in this course respect my ideas.,disagree,1.67%,0.00%,0.00%,4.10%,0.00%,0.00%,1.48%,3.09%,0.00%,1.46%,0.00%,0.00%
My peers in this course respect my ideas.,neutral,20.08%,16.67%,32.65%,12.70%,0.00%,0.00%,23.25%,22.84%,31.58%,23.79%,17.65%,0.00%
I have at least one person in this class I could study with outside of class.,agree,82.85%,83.33%,83.67%,76.23%,100.00%,0.00%,78.97%,85.19%,68.42%,82.52%,82.35%,100.00%
I have at least one person in this class I could study with outside of class.,disagree,10.88%,11.11%,10.20%,14.75%,0.00%,100.00%,16.61%,8.02%,26.32%,10.68%,11.76%,0.00%
I have at least one person in this class I could study with outside of class.,neutral,6.28%,5.56%,6.12%,9.02%,0.00%,0.00%,4.43%,6.79%,5.26%,6.80%,5.88%,0.00%
I feel supported by the Department or program offering this course.,agree,87.03%,69.44%,51.02%,69.67%,100.00%,0.00%,67.90%,85.80%,52.63%,72.33%,82.35%,83.33%
I feel supported by the Department or program offering this course.,disagree,4.18%,8.33%,18.37%,13.52%,0.00%,100.00%,14.76%,0.62%,26.32%,6.31%,0.00%,16.67%
I feel supported by the Department or program offering this course.,neutral,8.79%,22.22%,30.61%,16.80%,0.00%,0.00%,17.34%,13.58%,21.05%,21.36%,17.65%,0.00%
I feel comfortable working on group problems or labs with other students.,agree,77.41%,97.22%,69.39%,84.84%,100.00%,100.00%,73.06%,67.90%,63.16%,77.18%,94.12%,83.33%
I feel comfortable working on group problems or labs with other students.,disagree,4.18%,0.00%,10.20%,5.33%,0.00%,0.00%,10.70%,2.47%,10.53%,7.28%,0.00%,0.00%
I feel comfortable working on group problems or labs with other students.,neutral,18.41%,2.78%,20.41%,9.84%,0.00%,0.00%,16.24%,29.63%,26.32%,15.53%,5.88%,16.67%
