question,response_type,Chemistry 14A,Chemistry 14AE,Chemistry 14B,Chemistry 14BL,Chemistry 14C,Chemistry 14CL,Chemistry 14D,Chemistry 20A,Chemistry 30A,Chemistry 30B,Chemistry 30BL,Chemistry 30CL
I see challenges in Chemistry as opportunities to grow.,agree,92.18%,89.74%,75.00%,76.52%,100.00%,100.00%,83.47%,89.94%,80.00%,89.86%,88.24%,85.71%
I see challenges in Chemistry as opportunities to grow.,disagree,1.65%,0.00%,10.42%,9.72%,0.00%,0.00%,4.44%,1.18%,15.00%,2.42%,0.00%,0.00%
I see challenges in Chemistry as opportunities to grow.,neutral,6.17%,10.26%,14.58%,13.77%,0.00%,0.00%,12.10%,8.88%,5.00%,7.73%,11.76%,14.29%
I expect to feel more confident in Chemistry by the end of this quarter.,agree,83.54%,74.36%,47.92%,59.92%,100.00%,100.00%,76.21%,84.02%,55.00%,67.15%,64.71%,100.00%
I expect to feel more confident in Chemistry by the end of this quarter.,disagree,5.76%,10.26%,22.92%,17.00%,0.00%,0.00%,12.50%,4.73%,30.00%,16.43%,5.88%,0.00%
I expect to feel more confident in Chemistry by the end of this quarter.,neutral,10.70%,15.38%,29.17%,23.08%,0.00%,0.00%,11.29%,11.24%,15.00%,16.43%,29.41%,0.00%
I believe intelligence and ability in Chemistry can be developed over time.,agree,96.30%,92.31%,91.67%,86.64%,100.00%,100.00%,91.13%,94.08%,90.00%,95.65%,94.12%,85.71%
I believe intelligence and ability in Chemistry can be developed over time.,disagree,0.82%,0.00%,4.17%,3.64%,0.00%,0.00%,3.23%,2.37%,5.00%,0.48%,0.00%,14.29%
I believe intelligence and ability in Chemistry can be developed over time.,neutral,2.88%,7.69%,4.17%,9.72%,0.00%,0.00%,5.65%,3.55%,5.00%,3.86%,5.88%,0.00%
I believe I can improve my Chemistry skills with consistent effort.,agree,95.47%,92.31%,95.83%,87.45%,100.00%,100.00%,93.55%,95.27%,95.00%,96.62%,94.12%,85.71%
I believe I can improve my Chemistry skills with consistent effort.,disagree,1.23%,2.56%,2.08%,2.83%,0.00%,0.00%,1.21%,0.59%,0.00%,0.48%,0.00%,0.00%
I believe I can improve my Chemistry skills with consistent effort.,neutral,3.29%,5.13%,2.08%,9.72%,0.00%,0.00%,5.24%,4.14%,5.00%,2.90%,5.88%,14.29%
Mistakes in Chemistry are an important part of learning.,agree,95.88%,87.18%,91.67%,86.64%,100.00%,100.00%,93.15%,92.31%,90.00%,96.14%,94.12%,85.71%
Mistakes in Chemistry are an important part of learning.,disagree,0.82%,2.56%,2.08%,4.05%,0.00%,0.00%,2.02%,0.59%,0.00%,0.97%,0.00%,0.00%
Mistakes in Chemistry are an important part of learning.,neutral,3.29%,10.26%,6.25%,9.31%,0.00%,0.00%,4.84%,7.10%,10.00%,2.90%,5.88%,14.29%
I can motivate myself to keep studying even when the material is difficult.,agree,85.60%,69.23%,70.83%,76.52%,100.00%,0.00%,79.84%,83.43%,85.00%,81.64%,82.35%,71.43%
I can motivate myself to keep studying even when the material is difficult.,disagree,3.70%,5.13%,14.58%,11.34%,0.00%,100.00%,8.87%,4.73%,10.00%,7.25%,5.88%,28.57%
I can motivate myself to keep studying even when the material is difficult.,neutral,10.70%,25.64%,14.58%,12.15%,0.00%,0.00%,11.29%,11.83%,5.00%,11.11%,11.76%,0.00%
"When I don’t do well on an exam, I reflect and adjust my study strategies.",agree,91.36%,79.49%,77.08%,81.38%,100.00%,100.00%,85.89%,85.80%,90.00%,84.54%,76.47%,57.14%
"When I don’t do well on an exam, I reflect and adjust my study strategies.",disagree,1.65%,2.56%,4.17%,3.64%,0.00%,0.00%,2.42%,1.78%,0.00%,2.42%,5.88%,0.00%
"When I don’t do well on an exam, I reflect and adjust my study strategies.",neutral,7.00%,17.95%,18.75%,14.98%,0.00%,0.00%,11.69%,12.43%,10.00%,13.04%,17.65%,42.86%
I feel comfortable seeking help when I don’t understand a concept.,agree,87.24%,82.05%,58.33%,72.87%,100.00%,100.00%,70.97%,87.57%,70.00%,84.54%,94.12%,57.14%
I feel comfortable seeking help when I don’t understand a concept.,disagree,3.70%,7.69%,10.42%,10.53%,0.00%,0.00%,12.90%,2.37%,25.00%,6.28%,0.00%,28.57%
I feel comfortable seeking help when I don’t understand a concept.,neutral,9.05%,10.26%,31.25%,16.60%,0.00%,0.00%,16.13%,10.06%,5.00%,9.18%,5.88%,14.29%
I feel confident tackling new or unfamiliar Chemistry problems.,agree,78.60%,58.97%,54.17%,55.06%,100.00%,100.00%,64.92%,78.11%,50.00%,69.08%,76.47%,57.14%
I feel confident tackling new or unfamiliar Chemistry problems.,disagree,9.47%,33.33%,25.00%,21.05%,0.00%,0.00%,17.74%,7.69%,25.00%,13.04%,5.88%,28.57%
I feel confident tackling new or unfamiliar Chemistry problems.,neutral,11.93%,7.69%,20.83%,23.89%,0.00%,0.00%,17.34%,14.20%,25.00%,17.87%,17.65%,14.29%
"When I struggle with a Chemistry concept, I can usually find a way to understand it.",agree,92.18%,82.05%,77.08%,77.73%,100.00%,100.00%,87.10%,91.72%,90.00%,85.99%,94.12%,100.00%
"When I struggle with a Chemistry concept, I can usually find a way to understand it.",disagree,2.88%,5.13%,10.42%,10.53%,0.00%,0.00%,5.24%,1.18%,5.00%,7.73%,0.00%,0.00%
"When I struggle with a Chemistry concept, I can usually find a way to understand it.",neutral,4.94%,12.82%,12.50%,11.74%,0.00%,0.00%,7.66%,7.10%,5.00%,6.28%,5.88%,0.00%
