question,response_type,Chemistry 14A,Chemistry 14AE,Chemistry 14B,Chemistry 14BL,Chemistry 14C,Chemistry 14D,Chemistry 20A,Chemistry 30A,Chemistry 30AL,Chemistry 30B,Chemistry 30CL
I am confident in applying mathematical skills to Chemistry problems.,agree,89.00%,63.64%,69.35%,68.18%,75.86%,79.34%,93.12%,65.31%,94.44%,84.10%,78.95%
I am confident in applying mathematical skills to Chemistry problems.,disagree,3.67%,18.18%,14.52%,15.91%,6.90%,7.02%,2.02%,12.24%,5.56%,5.64%,0.00%
I am confident in applying mathematical skills to Chemistry problems.,neutral,7.33%,18.18%,16.13%,15.91%,17.24%,13.64%,4.86%,22.45%,0.00%,10.26%,21.05%
I am comfortable asking questions in lecture or discussion sections.,agree,57.67%,63.64%,37.10%,52.27%,45.98%,59.50%,68.42%,48.98%,72.22%,61.03%,68.42%
I am comfortable asking questions in lecture or discussion sections.,disagree,19.33%,36.36%,38.71%,22.73%,28.74%,21.49%,12.96%,16.33%,11.11%,17.44%,5.26%
I am comfortable asking questions in lecture or discussion sections.,neutral,23.00%,0.00%,24.19%,25.00%,25.29%,19.01%,18.62%,34.69%,16.67%,21.54%,26.32%
I expect to earn at least a B in this class.,agree,89.67%,81.82%,82.26%,86.36%,87.36%,87.60%,94.74%,81.63%,97.22%,85.13%,100.00%
I expect to earn at least a B in this class.,disagree,2.00%,9.09%,8.06%,4.55%,4.60%,4.55%,1.21%,4.08%,0.00%,5.64%,0.00%
I expect to earn at least a B in this class.,neutral,8.33%,9.09%,9.68%,9.09%,8.05%,7.85%,4.05%,14.29%,2.78%,9.23%,0.00%
I expect to earn at least a C in this class (C or better).,agree,87.67%,81.82%,88.71%,90.91%,89.66%,90.50%,90.28%,81.63%,88.89%,84.62%,94.74%
I expect to earn at least a C in this class (C or better).,disagree,6.67%,9.09%,3.23%,2.27%,3.45%,3.72%,4.05%,6.12%,8.33%,8.72%,5.26%
I expect to earn at least a C in this class (C or better).,neutral,5.67%,9.09%,8.06%,6.82%,6.90%,5.79%,5.67%,12.24%,2.78%,6.67%,0.00%
This question is to check if you are actually reading the question. Select Strongly Disagree here.,agree,4.00%,0.00%,3.23%,4.55%,4.60%,3.72%,6.07%,4.08%,5.56%,5.64%,0.00%
This question is to check if you are actually reading the question. Select Strongly Disagree here.,disagree,95.00%,100.00%,95.16%,93.18%,91.95%,95.45%,93.93%,95.92%,94.44%,93.33%,100.00%
This question is to check if you are actually reading the question. Select Strongly Disagree here.,neutral,1.00%,0.00%,1.61%,2.27%,3.45%,0.83%,0.00%,0.00%,0.00%,1.03%,0.00%
I know where to find academic help if I need it,agree,89.00%,90.91%,77.42%,79.55%,85.06%,89.67%,87.45%,83.67%,86.11%,87.69%,94.74%
I know where to find academic help if I need it,disagree,1.67%,0.00%,6.45%,6.82%,0.00%,3.72%,3.24%,6.12%,8.33%,4.10%,5.26%
I know where to find academic help if I need it,neutral,9.33%,9.09%,16.13%,13.64%,14.94%,6.61%,9.31%,10.20%,5.56%,8.21%,0.00%
I believe I can manage my time effectively when studying for Chemistry exams.,agree,76.00%,81.82%,62.90%,63.64%,68.97%,68.60%,80.97%,51.02%,86.11%,67.69%,63.16%
I believe I can manage my time effectively when studying for Chemistry exams.,disagree,8.33%,9.09%,17.74%,15.91%,13.79%,14.88%,5.67%,22.45%,11.11%,13.33%,5.26%
I believe I can manage my time effectively when studying for Chemistry exams.,neutral,15.67%,9.09%,19.35%,20.45%,17.24%,16.53%,13.36%,26.53%,2.78%,18.97%,31.58%
I can explain Chemistry concepts in my own words.,agree,75.33%,54.55%,38.71%,56.82%,66.67%,74.38%,80.97%,65.31%,86.11%,79.49%,89.47%
I can explain Chemistry concepts in my own words.,disagree,9.33%,0.00%,30.65%,15.91%,14.94%,6.20%,7.29%,14.29%,5.56%,6.67%,5.26%
I can explain Chemistry concepts in my own words.,neutral,15.33%,45.45%,30.65%,27.27%,18.39%,19.42%,11.74%,20.41%,8.33%,13.85%,5.26%
I believe my current study habits will help me perform well in this class.,agree,74.67%,81.82%,70.97%,70.45%,71.26%,73.14%,75.71%,59.18%,80.56%,71.79%,73.68%
I believe my current study habits will help me perform well in this class.,disagree,7.67%,9.09%,11.29%,11.36%,9.20%,8.26%,7.69%,16.33%,2.78%,9.23%,10.53%
I believe my current study habits will help me perform well in this class.,neutral,17.67%,9.09%,17.74%,18.18%,19.54%,18.60%,16.60%,24.49%,16.67%,18.97%,15.79%
I feel confident in my ability to succeed in this Chemistry course.,agree,80.33%,100.00%,51.61%,61.36%,68.97%,71.07%,89.07%,51.02%,91.67%,72.31%,89.47%
I feel confident in my ability to succeed in this Chemistry course.,disagree,6.67%,0.00%,22.58%,20.45%,17.24%,9.50%,1.21%,20.41%,0.00%,13.85%,0.00%
I feel confident in my ability to succeed in this Chemistry course.,neutral,13.00%,0.00%,25.81%,18.18%,13.79%,19.42%,9.72%,28.57%,8.33%,13.85%,10.53%
I understand the study strategies needed to perform well in college-level science classes.,agree,78.67%,81.82%,75.81%,72.73%,80.46%,88.43%,79.76%,63.27%,97.22%,84.62%,89.47%
