question,response_type,Chemistry 14A,Chemistry 14AE,Chemistry 14B,Chemistry 14BL,Chemistry 14C,Chemistry 14CL,Chemistry 14D,Chemistry 20A,Chemistry 30A,Chemistry 30AL,Chemistry 30B,Chemistry 30BL,Chemistry 30CL
I can be myself when interacting with classmates and faculty in Chemistry.,agree,85.82%,83.33%,79.25%,77.42%,78.67%,100.00%,77.35%,84.96%,78.00%,82.35%,80.60%,0.00%,86.67%
I can be myself when interacting with classmates and faculty in Chemistry.,disagree,3.64%,0.00%,3.77%,6.45%,10.67%,0.00%,5.98%,1.77%,6.00%,11.76%,3.98%,0.00%,0.00%
I can be myself when interacting with classmates and faculty in Chemistry.,neutral,10.55%,16.67%,16.98%,16.13%,10.67%,0.00%,16.67%,13.27%,16.00%,5.88%,15.42%,100.00%,13.33%
I feel like I belong in this Chemistry class.,agree,86.18%,100.00%,81.13%,67.74%,80.00%,100.00%,81.20%,85.84%,78.00%,91.18%,84.58%,100.00%,86.67%
I feel like I belong in this Chemistry class.,disagree,5.45%,0.00%,7.55%,9.68%,2.67%,0.00%,6.84%,7.52%,12.00%,0.00%,7.96%,0.00%,13.33%
I feel like I belong in this Chemistry class.,neutral,8.36%,0.00%,11.32%,22.58%,17.33%,0.00%,11.97%,6.64%,10.00%,8.82%,7.46%,0.00%,0.00%
I see myself continuing in Chemistry or a related field after this class.,agree,92.36%,66.67%,83.02%,77.42%,92.00%,100.00%,80.77%,93.81%,88.00%,97.06%,93.03%,100.00%,93.33%
I see myself continuing in Chemistry or a related field after this class.,disagree,1.82%,0.00%,3.77%,9.68%,2.67%,0.00%,7.26%,0.88%,6.00%,0.00%,1.49%,0.00%,0.00%
I see myself continuing in Chemistry or a related field after this class.,neutral,5.82%,33.33%,13.21%,12.90%,5.33%,0.00%,11.97%,5.31%,6.00%,2.94%,5.47%,0.00%,6.67%
I believe my contributions in class are valued.,agree,68.73%,83.33%,54.72%,61.29%,57.33%,100.00%,62.82%,60.62%,50.00%,76.47%,56.72%,0.00%,93.33%
I believe my contributions in class are valued.,disagree,4.36%,0.00%,16.98%,12.90%,9.33%,0.00%,7.69%,7.08%,8.00%,2.94%,8.46%,0.00%,6.67%
I believe my contributions in class are valued.,neutral,26.91%,16.67%,28.30%,25.81%,33.33%,0.00%,29.49%,32.30%,42.00%,20.59%,34.83%,100.00%,0.00%
My instructor(s) care about my learning and progress.,agree,89.82%,100.00%,75.47%,64.52%,86.67%,100.00%,94.02%,95.58%,80.00%,79.41%,90.05%,100.00%,100.00%
My instructor(s) care about my learning and progress.,disagree,2.18%,0.00%,11.32%,9.68%,0.00%,0.00%,0.43%,0.00%,6.00%,5.88%,1.49%,0.00%,0.00%
My instructor(s) care about my learning and progress.,neutral,8.00%,0.00%,13.21%,25.81%,13.33%,0.00%,5.56%,4.42%,14.00%,14.71%,8.46%,0.00%,0.00%
I see myself as part of the learning community in this course.,agree,86.18%,66.67%,67.92%,67.74%,76.00%,100.00%,79.06%,83.19%,74.00%,85.29%,81.09%,100.00%,93.33%
I see myself as part of the learning community in this course.,disagree,4.00%,0.00%,13.21%,12.90%,2.67%,0.00%,4.70%,4.42%,16.00%,0.00%,6.47%,0.00%,0.00%
I see myself as part of the learning community in this course.,neutral,9.82%,33.33%,18.87%,19.35%,21.33%,0.00%,16.24%,12.39%,10.00%,14.71%,12.44%,0.00%,6.67%
My peers in this course respect my ideas.,agree,76.73%,100.00%,71.70%,77.42%,70.67%,100.00%,75.64%,69.47%,64.00%,91.18%,73.63%,0.00%,86.67%
My peers in this course respect my ideas.,disagree,2.18%,0.00%,1.89%,3.23%,4.00%,0.00%,2.56%,0.00%,2.00%,0.00%,2.49%,0.00%,0.00%
My peers in this course respect my ideas.,neutral,21.09%,0.00%,26.42%,19.35%,25.33%,0.00%,21.79%,30.53%,34.00%,8.82%,23.88%,100.00%,13.33%
I have at least one person in this class I could study with outside of class.,agree,83.27%,100.00%,84.91%,74.19%,78.67%,100.00%,75.64%,83.19%,58.00%,82.35%,84.08%,0.00%,93.33%
I have at least one person in this class I could study with outside of class.,disagree,13.45%,0.00%,11.32%,16.13%,12.00%,0.00%,18.80%,11.06%,38.00%,8.82%,11.44%,100.00%,0.00%
I have at least one person in this class I could study with outside of class.,neutral,3.27%,0.00%,3.77%,9.68%,9.33%,0.00%,5.56%,5.75%,4.00%,8.82%,4.48%,0.00%,6.67%
I feel supported by the Department or program offering this course.,agree,80.36%,83.33%,56.60%,70.97%,65.33%,100.00%,65.38%,76.99%,60.00%,82.35%,69.65%,0.00%,66.67%
I feel supported by the Department or program offering this course.,disagree,4.36%,0.00%,22.64%,9.68%,6.67%,0.00%,8.55%,2.21%,10.00%,2.94%,4.98%,0.00%,6.67%
I feel supported by the Department or program offering this course.,neutral,15.27%,16.67%,20.75%,19.35%,28.00%,0.00%,26.07%,20.80%,30.00%,14.71%,25.37%,100.00%,26.67%
I feel comfortable working on group problems or labs with other students.,agree,81.09%,100.00%,73.58%,87.10%,69.33%,100.00%,76.50%,79.20%,70.00%,97.06%,79.60%,100.00%,80.00%
I feel comfortable working on group problems or labs with other students.,disagree,3.27%,0.00%,11.32%,9.68%,10.67%,0.00%,11.11%,3.98%,12.00%,2.94%,7.46%,0.00%,0.00%
I feel comfortable working on group problems or labs with other students.,neutral,15.64%,0.00%,15.09%,3.23%,20.00%,0.00%,12.39%,16.81%,18.00%,0.00%,12.94%,0.00%,20.00%
