Response Timestamp,Participant ID,This is the third survey. What class are you taking this survey for?,,,,,,,,,,,,,,"If you are taking a lab, you may have to fill this out for multiple courses--which may be confusing. To be sure that you selected the course you intended to select above, what is your instructor's last name for the above selected course?","When I struggle with a Chemistry concept, I can usually find a way to understand it.",,,,,I believe I can improve my Chemistry skills with consistent effort.,,,,,Mistakes in Chemistry are an important part of learning.,,,,,I feel comfortable seeking help when I don’t understand a concept.,,,,,I believe intelligence and ability in Chemistry can be developed over time.,,,,,I see challenges in Chemistry as opportunities to grow.,,,,,I can motivate myself to keep studying even when the material is difficult.,,,,,I feel confident tackling new or unfamiliar Chemistry problems.,,,,,"When I don’t do well on an exam, I reflect and adjust my study strategies.",,,,,I feel more confident in Chemistry now that we are at the end of this quarter.,,,,
,,Chemistry 14A,Chemistry 14AE,Chemistry 14B,Chemistry 14BL,Chemistry 14C,Chemistry 14CL,Chemistry 14D,Chemistry 20A,Chemistry 30A,Chemistry 30AL,Chemistry 30B,Chemistry 30BL,Chemistry 30C,Chemistry 30CL,,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree
2025-11-24 09:50:09 -0800,8609399233,0,0,1,0,0,0,0,0,0,0,0,0,0,0,n/a,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2025-11-24 10:53:22 -0800,8608352237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-24 10:53:58 -0800,8608352237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2025-11-24 11:40:35 -0800,15408354294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2025-11-24 12:33:44 -0800,15409194910,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2025-11-24 12:33:52 -0800,1808810438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2025-11-24 14:14:01 -0800,10310522576,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2025-11-24 14:57:41 -0800,109575982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2025-11-24 15:35:21 -0800,1809268469,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2025-11-24 15:44:36 -0800,6910214604,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2025-11-24 15:45:42 -0800,6910214604,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2025-11-24 16:00:28 -0800,6909139099,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2025-11-24 16:43:09 -0800,10303615782,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
