,why_peer_learning,count,tags
0,I did not know about it,24,did_not_knew
1,I did not know about it.,20,did_not_knew
2,I didn't know it existed,19,did_not_knew
3,I didn't know about it.,17,did_not_knew
4,I was not aware of it.,14,unaware_of_resource
5,Did not know about it,14,did_not_knew
6,I didn't know about it,13,did_not_knew
7,No time,12,no_time
8,I did not know it existed.,11,did_not_knew
9,I did not know it existed,9,did_not_knew
10,Didn't know about it,9,did_not_knew
11,I didn’t know about it,8,did_not_knew
12,Time conflict,8,schedule_conflict
13,I was not aware of it,8,unaware_of_resource
14,Was not aware of it,7,unaware_of_resource
15,Didn’t know about it,7,did_not_knew
16,I did not know it was happening,6,did_not_knew
17,I don't know what that is,6,did_not_knew
18,I didn't know that was a thing.,5,did_not_knew
19,didn't know about it,5,did_not_knew
20,Did not have time,4,no_time
21,Didn't know it existed,4,did_not_knew
22,Didn't have time,4,no_time
23,I didn't know it was happening,4,did_not_knew
24,I didn’t know about it.,4,did_not_knew
25,I don't know what that is.,4,did_not_knew
26,I did not know this was a thing.,4,did_not_knew
27,I didn't know that was a thing,4,did_not_knew
28,no time,4,no_time
29,I wasn't aware of it.,4,unaware_of_resource
30,I didn't know about this.,4,did_not_knew
31,I did not know that it existed.,3,did_not_knew
32,was not aware of it,3,unaware_of_resource
33,I did not know this was an option,3,did_not_knew
34,I did not know that was a thing.,3,did_not_knew
35,Didnt know about it,3,did_not_knew
36,Didn't know about it.,3,did_not_knew
37,I didn’t know it existed.,3,did_not_knew
38,I was not aware of the Chemistry peer learning.,3,unaware_of_resource
39,I did not know it was a thing,3,did_not_knew
40,Schedule conflict,3,schedule_conflict
41,I didn’t know it existed,3,did_not_knew
42,did not know about it,3,did_not_knew
43,I was not aware.,3,unaware_of_resource
44,Time conflicts,3,schedule_conflict
45,didn't have time,3,no_time
46,Not needed,3,did_not_need
47,No,3,no_response
48,I was not aware,3,unaware_of_resource
49,I was unaware of it.,2,unaware_of_resource
50,I didn't know about them.,2,did_not_knew
51,I did not know about this,2,did_not_knew
52,Not aware,2,unaware_of_resource
53,I didn't know,2,did_not_knew
54,I did not know this was a thing,2,did_not_knew
55,I didn't know there was peer learning.,2,did_not_knew
56,I did not know about the Chemistry peer learning.,2,unaware_of_resource
57,didn't feel the need to,2,did_not_need
58,I didn't feel the need to,2,did_not_need
59,.,2,no_response
60,I didn't need it,2,did_not_need
61,Was not aware.,2,unaware_of_resource
62,I didn't know that it was a thing.,2,did_not_knew
63,My personal schedule interfered with me attending the peer learning.,2,schedule_conflict
64,I didn't sign up for it at the start of the quarter.,2,other
65,I was unaware of this,2,unaware_of_resource
66,I didn't know about the chemistry peer learning.,2,did_not_knew
67,I did not know that it was offered.,2,did_not_knew
68,I didn't have time.,2,no_time
69,I did not know about this resource.,2,did_not_knew
70,I didn't have time,2,no_time
71,Didn't need to,2,did_not_need
72,didnt go,2,no_response
73,I was unaware of it,2,unaware_of_resource
74,Don’t know what that is,2,did_not_knew
75,I was unaware it was happening,2,unaware_of_resource
76,I don’t know what that is,2,did_not_knew
77,I didn't know it was available,2,did_not_knew
78,Hard to track down. would appreciate more announcements or communication,2,communication_issues
79,I didn't know this was an option.,2,did_not_knew
80,i did not know what that was,2,did_not_knew
81,I didn’t know there was one.,2,did_not_knew
82,na,2,no_response
83,Didn't feel the need to.,2,did_not_need
84,I did not have the time to do so.,2,no_time
85,I was unaware.,2,unaware_of_resource
86,Not aware of it,2,unaware_of_resource
87,Did not want to,2,other
88,Did not have space in schedule.,2,schedule_conflict
89,I was not aware of the peer learning room.,2,unaware_of_resource
90,Did not know about it.,2,did_not_knew
91,I did not know that existed.,2,did_not_knew
92,Unknown,2,no_response
93,I did not find it necessary for this course,2,did_not_need
94,Didn’t know,2,did_not_knew
95,Didn't know it existed.,2,did_not_knew
96,I was not aware of this program.,2,unaware_of_resource
97,I did not know this existed,2,did_not_knew
98,no,2,no_response
99,"Dislike peer learning, past experience has been the blind leading the blind.",2,dislike_peer_learning+blind_leading_blind
100,didn’t have time,2,no_time
101,Did not know,2,did_not_knew
102,I did not know there was Chemistry peer learning.,2,did_not_knew
103,I did not have time to attend.,2,no_time
104,Did not fit in schedule,2,schedule_conflict
105,I did not know it was happening.,2,did_not_knew
106,I did not have time.,2,no_time
107,Didn’t know about them,2,did_not_knew
108,Did not know that it was available,2,did_not_knew
109,I forgot,2,forgot
110,I didn’t know it was a thing,2,did_not_knew
111,I forgot/didn't know about it.,2,forgot+did_not_knew
112,No one is there,2,other
113,I didn't know it was a thing,2,did_not_knew
114,I do not know what that is.,2,did_not_knew
115,I did not know that was a facility provided.,2,did_not_knew
116,I don’t like studying with people,1,prefer_self_study+dislike_peer_learning
117,Was not interested,1,other
118,I didn't attend because I didn't know it was happening.,1,did_not_knew
119,The TA 's in this class have no idea what is going on and are not helpful whatsoever.,1,ineffective_past
120,I would attend office hours instead and I have a job and too many extracurriculars to make the allocated time.,1,used_office_hours+other_commitments+schedule_conflict
121,I didn't know there was one.,1,did_not_knew
122,I did not because I did not know of its existence.,1,did_not_knew
123,Did not know it was an option .,1,did_not_knew
124,Didn't know it was a thing,1,did_not_knew
125,I didn't know about this actually. I was more focused on attending announced office hours because they were helpful (professor).,1,did_not_knew+used_office_hours
126,"I didn't know peer learning was being offered in room MC3974. However, I did attend AAP Peer Learning sessions in Campbell Hall.",1,did_not_knew+attended_other_location
127,Schedule conflicts,1,schedule_conflict
128,I did not attend the Chemistry peer learning located in room MS3974 because I did not feel that it was necessary for my understanding of the chemistry concepts in Chemistry 14B.,1,did_not_need
129,I wasn't aware that it existed.,1,unaware_of_resource
130,I didn't have time and didn't know that was a thing.,1,no_time+did_not_knew
131,I didn't know there was Chemistry Peer learning,1,did_not_knew
132,i didn't know,1,did_not_knew
133,I haven’t found time to attend.,1,no_time
134,Not sure what that is.,1,did_not_knew
135,I dont have time,1,no_time
136,This professor's answers are always much more helpful and he is more accessible.,1,ta_better
137,did not know or forgot it existed,1,did_not_knew+forgot
138,didnt know it existed,1,did_not_knew
139,I did not know this existed.,1,did_not_knew
140,I didn't have time and also found myself not needing to attend.,1,no_time+did_not_need
141,I didn’t know this existed. I did attend office hours though.,1,did_not_knew+used_office_hours
142,Could not make it,1,schedule_conflict
143,I didn’t feel like I needed to,1,did_not_need
144,I didn't know that existed.,1,did_not_knew
145,Don’t  know about it,1,did_not_knew
