when_connected,count
I switched into this class just 2 days ago. The professor is already awesome though,1
"Disconnected within the students in class, everyone is a bit to themselves and as a newcomer, I feel out of place.",1
I think that these classes are difficult enough that many students ask for help and it can be hard to get 1 on 1 support,1
I feel more disconnected since our discussion section is online.,1
I Feel the most connected when others have the same struggles of chem concepts as me.,1
I feel connected when I receive feedback from peers in the Chemistry Community forum.,1
In-person lectures and discussions make me feel connected.,1
"In lecture it is difficult to ask questions, no fault of the professor, just my own shyness.",1
In lecture I feel very disconnected just because of how many people there are. In office hours I feel more connected because I can ask specific questions and work with fellow classmates.,1
How collaborative you need to be when working with others in order to go about the “open-ended” synthesis problems,1
"I feel the most ""connected"" when I am doing practice problems with my friends and am able to ask questions. I feel the most ""disconnected"" when I am first introduced to a new topic and I don't know what is going on.",1
I feel the most connected during small group learning and disconnected during large lectures,1
I feel connected when I'm able to work with others who also have a genuine interest in chemistry.,1
I feel disconnected when I feel as though I am the only person who doesn't understand the concept. I have a hard time asking questions or seeking help because I feel as though others are judging me for struggling.,1
I feel most connected when there are good discussions and engagement from peers.,1
I feel most connected when I am able to learn and pass on what I’ve learned to my peers. I feel most disconnected when I feel that I am behind in the course material.,1
"I feel most connected in the workshops, drop-ins, and step-ups. I feel the most disconnected in the lectures.",1
Lectures and discussions are typically very engaging.,1
Office hours / discussion sections make me feel connected because of the smaller class sizes,1
I feel the mist connected in TA office hours,1
I feel most connected during discussions since I’m able to talk to a TA.,1
I feel pretty connected most of the time.,1
I feel most connected in Chemistry learning spaces when the professor is open to people asking questions and I am able to be curious or wrong.,1
I feel most connected in discussions because everyone else is also confused,1
I feel very connected to my peers in this class and it's helped me find many friends in my major,1
I feel most connected during TA office hours.,1
I feel most connected when we work in groups during discussion.,1
I feel like im just reviewing ap chem,1
I feel most connected in the UA workshops! They’re so helpful and my classmates there are nice too,1
I find discussion sections difficult because they are on zoom.,1
Most connected during workshop sessions; least connected during lectures.,1
When comparing answers with friends.,1
-when the student groups are small enough to interact,1
I feel more connected when I’m in my discussion section while I’m in the lecture.,1
