why_peer_learning,count
I did not know about it,24
I did not know about it.,20
I didn't know it existed,19
I didn't know about it.,17
I was not aware of it.,14
Did not know about it,14
I didn't know about it,13
No time,12
I did not know it existed.,11
I did not know it existed,9
Didn't know about it,9
I didn’t know about it,8
Time conflict,8
I was not aware of it,8
Was not aware of it,7
Didn’t know about it,7
I did not know it was happening,6
I don't know what that is,6
I didn't know that was a thing.,5
didn't know about it,5
Did not have time,4
Didn't know it existed,4
Didn't have time,4
I didn't know it was happening,4
I didn’t know about it.,4
I don't know what that is.,4
I did not know this was a thing.,4
I didn't know that was a thing,4
no time,4
I wasn't aware of it.,4
I didn't know about this.,4
I did not know that it existed.,3
was not aware of it,3
I did not know this was an option,3
I did not know that was a thing.,3
Didnt know about it,3
Didn't know about it.,3
I didn’t know it existed.,3
I was not aware of the Chemistry peer learning.,3
I did not know it was a thing,3
Schedule conflict,3
I didn’t know it existed,3
did not know about it,3
I was not aware.,3
Time conflicts,3
didn't have time,3
Not needed,3
No,3
I was not aware,3
I was unaware of it.,2
I didn't know about them.,2
I did not know about this,2
Not aware,2
I didn't know,2
I did not know this was a thing,2
I didn't know there was peer learning.,2
I did not know about the Chemistry peer learning.,2
didn't feel the need to,2
I didn't feel the need to,2
.,2
I didn't need it,2
Was not aware.,2
I didn't know that it was a thing.,2
My personal schedule interfered with me attending the peer learning.,2
I didn't sign up for it at the start of the quarter.,2
I was unaware of this,2
I didn't know about the chemistry peer learning.,2
I did not know that it was offered.,2
I didn't have time.,2
I did not know about this resource.,2
I didn't have time,2
Didn't need to,2
didnt go,2
I was unaware of it,2
Don’t know what that is,2
I was unaware it was happening,2
I don’t know what that is,2
I didn't know it was available,2
Hard to track down. would appreciate more announcements or communication,2
I didn't know this was an option.,2
i did not know what that was,2
I didn’t know there was one.,2
na,2
Didn't feel the need to.,2
I did not have the time to do so.,2
I was unaware.,2
Not aware of it,2
Did not want to,2
Did not have space in schedule.,2
I was not aware of the peer learning room.,2
Did not know about it.,2
I did not know that existed.,2
Unknown,2
I did not find it necessary for this course,2
Didn’t know,2
Didn't know it existed.,2
I was not aware of this program.,2
I did not know this existed,2
no,2
"Dislike peer learning, past experience has been the blind leading the blind.",2
didn’t have time,2
Did not know,2
I did not know there was Chemistry peer learning.,2
I did not have time to attend.,2
Did not fit in schedule,2
I did not know it was happening.,2
I did not have time.,2
Didn’t know about them,2
Did not know that it was available,2
I forgot,2
I didn’t know it was a thing,2
I forgot/didn't know about it.,2
No one is there,2
I didn't know it was a thing,2
I do not know what that is.,2
I did not know that was a facility provided.,2
I don’t like studying with people,1
Was not interested,1
I didn't attend because I didn't know it was happening.,1
The TA 's in this class have no idea what is going on and are not helpful whatsoever.,1
I would attend office hours instead and I have a job and too many extracurriculars to make the allocated time.,1
I didn't know there was one.,1
I did not because I did not know of its existence.,1
Did not know it was an option .,1
Didn't know it was a thing,1
I didn't know about this actually. I was more focused on attending announced office hours because they were helpful (professor).,1
"I didn't know peer learning was being offered in room MC3974. However, I did attend AAP Peer Learning sessions in Campbell Hall.",1
Schedule conflicts,1
I did not attend the Chemistry peer learning located in room MS3974 because I did not feel that it was necessary for my understanding of the chemistry concepts in Chemistry 14B.,1
I wasn't aware that it existed.,1
I didn't have time and didn't know that was a thing.,1
I didn't know there was Chemistry Peer learning,1
i didn't know,1
I haven’t found time to attend.,1
Not sure what that is.,1
I dont have time,1
This professor's answers are always much more helpful and he is more accessible.,1
did not know or forgot it existed,1
didnt know it existed,1
I did not know this existed.,1
I didn't have time and also found myself not needing to attend.,1
I didn’t know this existed. I did attend office hours though.,1
Could not make it,1
I didn’t feel like I needed to,1
I didn’t know that existed.,1
Don’t  know about it,1
Did not know that was a thing,1
"Extremely busy, unpredictable schedule that made it hard to find time to do it.",1
I didn't know peer learning existed for my course until just now.,1
Always had a schedule clash,1
"I decided to just study on my own, and I didn't have the time.",1
"I had no idea that Chemistry peer learning room in MS3974 was a resource available. If I had known, I would've taken greater advantage of this resource.",1
I have a busy schedule this quarter so I did not have time to utilize all synchronous resources.,1
Didn’t know about it and probably wouldn’t feel the need to.,1
I have a part time job and a commuter so it didnt match my schedule.,1
I did not know anything about it.,1
My free times did not align with the Peer Learning.,1
I was not familiar with this opportunity but also attend OH often (and didn't feel it necessary to seek extra help),1
I went to my TAs office hours and studied with friends instead,1
"I did not know about them, but also I prefer studying and doing it by myself.",1
I sometimes don't believe they're very helpful.,1
I was unaware of this resource,1
I did not know of the peer learning.,1
I didn’t know they existed,1
Didn’t feel it was necessary,1
I don't generally like peer learning groups.,1
I don't like peer learning groups.,1
I was not aware of the event,1
I don't remember getting notified about it! That definitely could have been my own error.,1
I dont have time.,1
"I mostly understood the concepts that were taught in class and things I was unsure about, I was able to easily understand through reading the textbook or watching a video.",1
Did not know about this resource.,1
Busy quarter,1
I did not know it even existed. Never head any mention of it.,1
social anxiety,1
I typically don’t find peer learning helpful,1
I attended plf sessions,1
I did not know about the peer learning sessions,1
Didn’t leave enough time in my course/extracurricular load to go to them.,1
"I didn't think I needed to, as I grasped the material after absorbing all the given material and doing all the given practice problems.",1
I did not know there was chemistry peer learning.,1
I didn't know it was a resource available to me,1
"I remember receiving as email about it at the beginning of year eyar but then forgot about it. Also, I had a busy schedule this quarter so was unable to attend",1
I did not know that this was a resource. I also already attend several TA office hours and have access to enough help.,1
I was not aware that there was a chemistry peer learning location. I would have attend had I known.,1
i didn’t know that was happening,1
Scheduling/time,1
I did not know this was avaliable.,1
Didn’t fit into my schedule.,1
I have other resources that I rely on.,1
Was not aware,1
